counter,status,timestamp_begin,timestamp_ack,resp_time_ack,value_last_sent
0,Good,48414983000,48415045000,62,x8nDcGt25NoVSRM3Bmos3Fj6Nymu67PnzamgU45eWayDCvjVMFEu84LeRFHbsYDnWaZdSGxh8jMdYf1
1,Good,48415346000,48415394000,48,yKkuJgFcsWxQMbw8XLqmVFCERfvYrqGtTSHn4FQ8rHd2AVfvNFyKcEgp2AUEpred5JpVdFano7hNRL2
2,Good,48415695000,48415756000,61,mck4JxNj7CE63qcwVeaWG3mYfyG9bjyEcgxkUF6EXaAet8dv3t2dk8ven9FkebPzZJX9tKUaBdKG4v3
3,Good,48416059000,48416086000,27,nMhxE86FBrGyc29uoUxFwJkYacFxokzHbY6oJbMR7nbNkhmLVQbBfZMqvezSXd29WE6Um92yzeHLy44
4,Good,48416387000,48416414000,27,nTVYF68fbc37W9jHkPNcq2tQjZr5De6kWoDJb3aGZ2H4QyRWg6kavjExpNYk86W9UeHVwWR9kJqK3T5
5,Good,48416717000,48416743000,26,fUJk3cEoNMrxcJKgQduXYkxEev85HeVFC2YmNbC4dHjocea9J5XgKG8fDEFdJfrzmukhU2Csc5bNaC6
6,Good,48417045000,48417073000,28,g59j7g2uaEJTVgt7ZsBr4qaxDVyrLeSnCy7PgH3E4zTcLgrs7CdZUWzdKfmrJh5weQjZSy6wDX7neo7
7,Good,48417375000,48417402000,27,PcwNrGtWkRXqpLkMgtocSbfB7DKUb9RgBbvCrhjDw9R8NbCwrsHuKLoMzhUTj75qXtKHZdCF4ebPhx8
8,Good,48417705000,48417732000,27,AXnszfWxhMHPQcyEkjdS5WMqC2L7RuyTMU2WzR42nApXo8UMFAZCxpqJm5XZ7Re3vsG8je6wKNpBwT9
9,Good,48418035000,48418062000,27,amNL4JBqKsPWebqtJe3QMPedQnaAHxSm7wtEmsfaw2Rhsg63SaCNXrqZ4XtpC46thp7ogwHsvaoN591
10,Good,48418363000,48418390000,27,DPf2jsYBXLyWwu7UyrDkRVdSTb7Dce5zmwWEKzQ5RV8u6Aq4FR2Tv4BhQb75p4J7jPozwpA9fgXaQj2
11,Good,48418693000,48418720000,27,nkfy3V4jw7WpD29sFoaZDnv5eB3xLjUQRSZUDPstRAroTcpYjfS58Mg3C8yeBvkXYhfpz6rJD5GmCV3
12,Good,48419023000,48419049000,26,PpSZEtfRFZNreYUn4qGyC2a9QDd86WvKgf6EkGrxBQjas9okdrVNoLwzaCAQhVsnDK8bQBw9SAQYyW4
13,Good,48419351000,48419376000,25,oa63VJPKDqhc5zwpyqLVb5W62XdzKvmZL4DMGRmTA2sSU3bNkasnB9tD8oY9SEHRBvkgD3UjLEMgeC5
14,Good,48419679000,48419706000,27,hU3wJ4UHQopm2ZNkC2pmD3ourZg8vcmZ7LVGbYSZNru2mdnWAeaNBdvKWLDzbBP5tNKokPgArvGJ9y6
15,Good,48420007000,48420032000,25,v5f7TqnpSCePJzQTyWj4Hyz9davCMwVxEf6DPGg3kE9XKacRvY6GDq7yQzqPs3VuWvaVj6PuAGQUeu7
16,Good,48420335000,48420362000,27,XqJcQF92nuWFBYsGeVDJf9x57s9eKdaUbomQFpUVfsSdX4EzmYPEURKJoUX9tqJUCoWwbAzrmxqUfC8
17,Good,48420663000,48420691000,28,H4vPV9Kdcmve7VBJKQrDXEnpVbUxFt2z548Cc3UzPCVywgJLv6EsX2RWeJAS8YMd6GPMTwysUJCBRy9
18,Good,48420993000,48421021000,28,4KmUxwGfCqp7tTgR6z4qS729GVYPxQFqjGVEYrxjMenzEZv3GKZ52mMtUrasSPZjQJMa5zJFEaPJB51
19,Good,48421323000,48421350000,27,VqEpvrd4kurQES8FDj6MV7RtxvfeLpF6gV4dasfUFt3BwGVLhErRYZV768HEhBt8VZuJFedxmL9Xw82
20,Good,48421651000,48421678000,27,ZUnkxygH9efdtYPfsJCbrkBcjNvWBK7hru6aJxRuohAtZXoQPufrySJBkVv4mcWfLqdkSN3nZyW4hc3
21,Good,48421980000,48422006000,26,YjFwa2bvZUwCWHKLchs3C8A24R6PbHTWUfq7FUxB3FjDqMsF4TefHvgk2f7MdpCmcNXP52NFHvTMsf4
22,Good,48422309000,48422335000,26,N92wY5Zht7eS5pkBEsdroYnSBvPXgw9k8dwPNgxe7W6KbXLPACojkPdWSnUYrSqGvzKp3JaRW2KmzL5
23,Good,48422637000,48422664000,27,w76Y4hu2QKdJhozvDRZXyWuZJ7HeGBcKF5UXSNhA95dY3nrAYhju57L8tmnVHB8btTcyrZY52WaRUZ6
24,Good,48422965000,48422992000,27,sc4ZL7tTcXnvVBZ3Yf5s2VfCsygcRM2ZpGhRwSKWuBHe9YzaB8wuEo4BWu9pKvWqQcJFyPuVGT4MyJ7
25,Good,48423295000,48423323000,28,yL3m4Fc3g5ZWF28vyt6rVMtCZ5u3AyfmW83twK9fMRTU8AbwHXFM5d9JhcKrs3XxAQ3EBh7LH5Zsb48
26,Good,48423625000,48423652000,27,F2baZV9tLTRwUj5f8uhrFVfPtEzBQXmA7Yh54VzrhpXxVdLJuYvF4Kr9AURt3KUT8HYzpWQn8jVgsP9
27,Good,48423955000,48423982000,27,gGnNPJDz59UfZyvNdBfDETFCfc6kWaKuptnQ7EK4h5pBtMHwDrskcwgKrqHncdxjzqLfQY2mJeYZBw1
28,Good,48424283000,48424310000,27,NXcCDQyrvXcQEazb3f7Q2pyFb8YGJ5aVzPFfwZWxdAYz3Z7j4tygWsn7mSaknbBZzUe5FkaXoPhgaj2
29,Good,48424613000,48424639000,26,reS3XrjKH6N2gWacjnDoxPF9DMrCt9DbU5G76xV57pNfFEx8c5MDQ4Td3HX6KxFBfVmqPT3pj2c8G33
30,Good,48424940000,48424983000,43,uKhHQo5DnTcwjsCr9StWGPmTXpUZVW9Knukpz2agD6yF2u8EkMYDUe738jnS6cm7bCJSZTxDSvMwep4
31,Good,48425285000,48425312000,27,SY8NrQJ3z5v9WcJ5rxvK3j9BstkKE75nosPL3QYgc4STZtH37gePEosNZJSrv7zVRxaqLygXnYqrsT5
32,Good,48425613000,48425641000,28,bS6AWHzjDf7bGyr7a8J5qM7H9mp7BeGJyZ7cNaPWKNaQwrtuKEvF92XP4GdbU8SY298trqUCsuh2x76
33,Good,48425943000,48425970000,27,vt7EDUzFNMUQpvCc8XztRAbXaCRGyZ63srX4NEB53feWD6sF4ZGdteqmRh8FvX6EohtTyxYd6BXpVs7
